0.201782,-0.374390,0.913330
-0.438232,0.066895,0.877563
0.530029,-0.278564,1.104980
-0.289307,-0.237671,0.808350
0.018433,0.172852,1.051514
0.267578,-0.356812,0.931396
-0.473511,0.026611,0.835083
0.509033,-0.260498,1.108276
-0.199219,-0.358765,0.795166
-0.031982,0.148560,1.031250
0.310425,-0.337402,0.931519
-0.497681,0.026611,0.796387
0.483154,-0.209351,1.112793
-0.129639,-0.378174,0.794556
-0.115234,0.140747,0.995728
0.351929,-0.344360,0.956177
-0.526489,0.008667,0.774292
0.460083,-0.195068,1.115112
-0.088013,-0.356689,0.817139
-0.194336,0.154297,0.990967
0.390869,-0.306641,0.996826
-0.541260,-0.009644,0.754517
0.398193,-0.148804,1.118774
-0.049438,-0.383545,0.837158
-0.262573,0.161255,0.982056
0.435791,-0.319336,1.022827
-0.522705,0.008301,0.772339
0.328735,-0.065552,1.098022
-0.002563,-0.366821,0.859375
-0.315063,0.138306,0.960815
0.457275,-0.331177,1.041260
-0.482056,-0.055054,0.772705
0.269531,-0.009766,1.105835
0.037598,-0.355957,0.857300
-0.369019,0.142456,0.926025
0.489624,-0.327759,1.052002
-0.439697,-0.120483,0.761230
0.184692,0.061646,1.080688
0.097778,-0.372070,0.884644
-0.422241,0.132324,0.892090
0.492188,-0.309204,1.054810
-0.425781,-0.177612,0.755005
0.132812,0.058105,1.065063
0.174438,-0.412598,0.887695
-0.466553,0.147583,0.873047
0.484131,-0.260986,1.060059
-0.386841,-0.214844,0.761475
0.070312,0.055542,1.033203
0.221558,-0.426514,0.895264
-0.486206,0.113159,0.857544
0.505005,-0.214844,1.100098
-0.317749,-0.205933,0.781250
-0.023315,0.104248,1.007446
0.262939,-0.419800,0.908325
-0.496948,0.045532,0.818604
0.479736,-0.171875,1.117798
-0.234741,-0.291504,0.772339
-0.083618,0.136841,0.988037
0.318115,-0.423584,0.912598
-0.527588,0.039307,0.790894
-0.277588,0.183472,0.954224
0.405273,-0.325928,0.998901
