epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9924919605255127,0.0010000000474974513,0.02163778431713581,1.0,0.00030446983873844147
1,0.9988227486610413,0.0010000000474974513,0.004351555369794369,0.9999039173126221,0.0001839482574723661
2,0.9991831183433533,0.0010000000474974513,0.002952215261757374,0.9997116923332214,0.0006955705466680229
3,0.9992792010307312,0.0010000000474974513,0.002688389038667083,1.0,1.6576790585531853e-05
4,0.9993993639945984,0.0010000000474974513,0.0024006112944334745,0.9999039173126221,0.00021976717107463628
5,0.9997357130050659,0.0010000000474974513,0.0007898311596363783,1.0,1.3734670574194752e-06
6,0.9995315074920654,0.0010000000474974513,0.00181253079790622,1.0,4.219553738948889e-05
7,0.9996756315231323,0.0010000000474974513,0.0012531827669590712,1.0,1.803138474087973e-07
8,0.9996636509895325,0.0010000000474974513,0.0013800429878756404,1.0,4.434178535461797e-08
9,1.0,0.0010000000474974513,1.5526367860729806e-05,1.0,1.4365084233247671e-08
10,0.999459445476532,0.0010000000474974513,0.002803007373586297,1.0,1.3961510376248043e-05
11,0.9999759793281555,0.0005000000237487257,8.676778816152364e-05,1.0,1.960453488436542e-07
12,1.0,0.0005000000237487257,8.364097084267996e-06,1.0,5.5560796852205385e-08
13,1.0,0.0005000000237487257,3.461990900177625e-06,1.0,8.557210051662878e-09
14,0.9998798966407776,0.0005000000237487257,0.0005829883739352226,1.0,1.6186900708703433e-08
15,0.999951958656311,0.0005000000237487257,0.00015467064804397523,1.0,3.0013933560724126e-09
