0.099365,-0.401611,0.842896
0.099609,-0.396973,0.850464
0.098389,-0.398438,0.847534
0.097778,-0.396851,0.852539
0.096191,-0.400757,0.850464
0.099365,-0.396118,0.847534
0.101685,-0.399536,0.847534
0.100708,-0.395752,0.851318
0.098145,-0.398438,0.850342
0.099243,-0.394775,0.848022
0.099731,-0.398438,0.842163
0.103149,-0.392578,0.849731
0.100342,-0.400513,0.851929
0.100586,-0.397095,0.839600
0.101807,-0.400146,0.843628
0.100586,-0.395020,0.845825
0.097290,-0.399292,0.845947
0.099365,-0.395752,0.852905
0.103149,-0.400269,0.844727
0.100586,-0.394165,0.848389
0.101440,-0.402222,0.846313
0.101440,-0.399292,0.845581
0.101685,-0.401489,0.842407
0.098389,-0.392700,0.849121
0.098633,-0.398926,0.845825
0.097412,-0.393921,0.848999
0.104370,-0.398315,0.847778
0.099487,-0.391479,0.852661
0.099609,-0.396240,0.847900
0.103516,-0.398926,0.844971
0.102905,-0.404419,0.840576
0.100342,-0.397705,0.843872
0.103394,-0.400024,0.848633
0.100708,-0.395752,0.844604
0.105713,-0.402954,0.843872
0.100708,-0.396606,0.848389
0.101929,-0.399902,0.842896
0.100952,-0.398438,0.851196
0.103271,-0.403809,0.846313
0.098877,-0.396484,0.845825
0.101440,-0.402710,0.843750
0.102295,-0.398071,0.841187
0.101562,-0.398193,0.844604
0.100464,-0.396606,0.853516
0.101685,-0.396729,0.843628
0.099609,-0.394653,0.849609
0.105103,-0.397339,0.853271
0.104370,-0.397705,0.851685
0.099976,-0.399658,0.848022
0.100220,-0.398438,0.845581
0.103394,-0.394165,0.851562
0.101196,-0.395264,0.844116
0.103271,-0.395630,0.847168
0.100952,-0.399536,0.844238
0.102051,-0.396240,0.852173
0.099854,-0.395020,0.847900
0.100586,-0.397827,0.847412
0.100586,-0.402832,0.842896
0.099365,-0.399780,0.850586
0.098389,-0.398560,0.843994
0.100586,-0.395752,0.837891
0.096924,-0.398926,0.848267
0.097778,-0.393921,0.847900
0.098267,-0.397949,0.842773
0.100952,-0.398926,0.844727
0.096802,-0.397217,0.845215
0.098999,-0.393433,0.846802
0.097656,-0.403198,0.846436
0.102417,-0.393066,0.854004
0.103882,-0.400146,0.843262
0.105835,-0.394409,0.845459
0.098633,-0.400513,0.848999
0.102905,-0.393555,0.849121
0.099976,-0.397339,0.845337
0.098145,-0.395386,0.846191
0.098389,-0.401001,0.844604
0.101929,-0.397705,0.848389
0.098633,-0.397827,0.847412
0.099609,-0.394531,0.843994
0.102173,-0.397827,0.845581
0.100098,-0.390869,0.852905
0.099365,-0.401245,0.845215
0.103149,-0.394531,0.845825
0.103394,-0.396606,0.841309
0.103271,-0.396484,0.844116
0.101929,-0.403320,0.840820
0.101807,-0.397339,0.848999
0.106689,-0.400757,0.848999
0.103516,-0.392700,0.845093
0.099731,-0.399414,0.844116
0.096802,-0.396606,0.848267
0.100342,-0.399902,0.844238
0.098999,-0.398315,0.850220
0.100708,-0.400391,0.848267
0.099487,-0.393433,0.849976
0.100098,-0.397095,0.839844
0.100830,-0.397217,0.849365
0.103882,-0.395752,0.837280
0.099976,-0.397461,0.845459
0.097412,-0.395386,0.845947
0.098755,-0.396606,0.844116
0.100830,-0.395508,0.845581
0.100586,-0.398804,0.839478
0.102417,-0.397583,0.848999
0.098755,-0.395996,0.847412
0.099365,-0.395508,0.848145
0.103516,-0.396606,0.840942
0.101440,-0.394653,0.844238
0.097534,-0.401001,0.845337
0.101807,-0.395996,0.849365
0.103882,-0.399780,0.843872
0.102295,-0.396606,0.847778
0.099487,-0.396606,0.848389
0.098267,-0.396240,0.846313
0.102661,-0.400146,0.839844
0.099731,-0.394531,0.841919
0.100342,-0.401245,0.845459
0.100342,-0.392334,0.846558
0.097900,-0.399902,0.839722
0.101318,-0.394653,0.843872
0.098877,-0.398804,0.848511
0.100952,-0.399048,0.850830
0.098267,-0.403320,0.845459
0.102173,-0.396484,0.840332
0.097290,-0.401001,0.846313
0.100342,-0.396851,0.851074
0.100952,-0.398926,0.845947
0.100708,-0.396851,0.844971
0.103149,-0.402222,0.845459
0.097534,-0.395508,0.844482
0.104004,-0.399414,0.848389
0.100952,-0.395752,0.848511
0.105713,-0.401733,0.847778
0.101196,-0.395020,0.846802
0.105957,-0.398193,0.847046
0.097046,-0.397827,0.849487
0.099854,-0.398682,0.849976
0.097656,-0.395508,0.851562
0.102173,-0.401367,0.845703
0.100952,-0.395386,0.841553
0.100586,-0.401245,0.841797
0.098389,-0.400391,0.850952
0.104248,-0.397583,0.841919
0.100830,-0.393555,0.849243
0.103394,-0.398315,0.842407
0.095459,-0.395752,0.846924
0.100830,-0.398438,0.843140
0.104248,-0.399414,0.846069
0.099609,-0.397827,0.847412
0.098877,-0.398560,0.849365
0.097656,-0.397827,0.847290
0.098022,-0.394165,0.845825
0.105225,-0.396362,0.841553
0.100342,-0.400757,0.843262
0.100464,-0.397339,0.839844
0.098999,-0.397461,0.848267
0.094360,-0.398560,0.847290
0.100220,-0.396973,0.847900
0.098999,-0.397827,0.847534
0.096802,-0.400024,0.846558
0.094971,-0.397095,0.847778
0.097412,-0.398193,0.841919
0.100464,-0.396362,0.849121
0.095215,-0.397949,0.845703
0.102051,-0.396606,0.845215
0.102173,-0.399658,0.844604
0.101196,-0.395386,0.848999
0.099365,-0.399902,0.846924
0.103394,-0.395508,0.845703
0.103149,-0.404175,0.840088
0.102539,-0.395630,0.849121
0.103027,-0.397583,0.845947
0.095825,-0.395630,0.849976
0.101074,-0.403076,0.849121
0.101685,-0.396118,0.846191
0.100952,-0.402710,0.841431
0.101318,-0.397217,0.845093
0.099609,-0.397339,0.850586
0.099731,-0.397827,0.848877
0.099609,-0.396240,0.847534
0.100586,-0.395264,0.847778
0.100708,-0.399780,0.840820
0.094238,-0.394775,0.844971
0.101929,-0.397339,0.844727
0.103638,-0.393555,0.847778
0.102417,-0.397461,0.845703
0.098145,-0.398560,0.850586
0.097656,-0.400146,0.844604
0.101074,-0.391479,0.847168
0.105225,-0.396484,0.849609
0.096436,-0.397461,0.851929
0.102539,-0.400757,0.850342
0.097534,-0.392822,0.852051
0.102173,-0.397583,0.843262
0.104126,-0.397705,0.844116
0.099731,-0.396118,0.846313
0.102661,-0.397217,0.844360
0.104492,-0.396729,0.847656
0.099487,-0.397949,0.843384
0.103638,-0.400269,0.841309
0.100220,-0.396973,0.846313
0.099854,-0.401978,0.843872
0.098389,-0.396851,0.848267
0.102417,-0.397949,0.847900
0.100464,-0.398193,0.844116
0.103149,-0.397339,0.846191
0.100464,-0.401978,0.844727
0.099609,-0.395874,0.845459
0.102051,-0.394531,0.850830
0.103027,-0.399170,0.851318
0.098267,-0.399658,0.847900
0.102051,-0.393066,0.847168
0.099365,-0.399292,0.848877
0.096680,-0.400024,0.843506
0.102173,-0.397705,0.843994
0.098511,-0.395142,0.849487
0.099854,-0.397217,0.850586
0.099609,-0.395996,0.845581
0.098511,-0.399292,0.843506
0.097656,-0.393555,0.845093
0.098267,-0.400269,0.841919
0.099487,-0.395752,0.848022
0.102173,-0.398315,0.847412
0.102417,-0.397583,0.839844
0.096558,-0.401123,0.840576
0.103394,-0.392334,0.850708
0.101440,-0.399536,0.844727
0.099121,-0.393921,0.845093
0.096680,-0.396606,0.844360
0.099487,-0.397705,0.848267
0.103149,-0.403198,0.842651
0.098511,-0.390381,0.846436
0.104492,-0.402344,0.847290
0.099609,-0.397949,0.848511
0.098511,-0.397827,0.844604
0.099243,-0.395508,0.841919
0.098633,-0.398560,0.850830
0.097656,-0.395874,0.847778
0.098022,-0.401245,0.842896
0.101685,-0.395142,0.844727
0.104248,-0.401733,0.844604
0.100220,-0.390747,0.843506
0.098267,-0.402222,0.844360
0.100952,-0.397095,0.846436
0.102661,-0.402466,0.846924
0.101807,-0.395996,0.851196
0.096313,-0.399902,0.848389
0.097656,-0.396240,0.849365
0.100220,-0.397827,0.845337
0.101196,-0.400757,0.846069
0.102051,-0.399658,0.845337
0.098877,-0.400391,0.846313
0.104004,-0.402466,0.845215
0.100708,-0.398804,0.846558
0.101318,-0.398682,0.849854
0.099976,-0.394653,0.843628
0.098145,-0.401001,0.847046
0.099121,-0.395996,0.845581
0.104492,-0.397827,0.843872
0.102905,-0.398315,0.849609
0.102905,-0.400879,0.843628
0.101929,-0.401123,0.841431
0.102661,-0.394409,0.848022
0.098877,-0.399048,0.847778
0.101196,-0.400879,0.847412
0.097534,-0.399048,0.841187
0.099365,-0.397339,0.843018
0.099976,-0.397095,0.842041
0.104492,-0.397095,0.845947
0.099609,-0.399536,0.846924
0.097290,-0.397217,0.843384
0.098389,-0.400024,0.847534
0.103882,-0.401367,0.843994
0.099731,-0.401611,0.848267
0.098389,-0.393799,0.850708
0.097778,-0.403931,0.844604
0.100464,-0.394287,0.845703
0.099854,-0.400635,0.844360
0.098267,-0.396118,0.850464
0.099609,-0.398071,0.843994
0.098999,-0.393921,0.847168
0.101807,-0.399902,0.846680
0.105103,-0.397949,0.846313
0.099976,-0.400269,0.845215
0.103882,-0.396606,0.843994
0.100830,-0.401001,0.844238
0.099731,-0.396484,0.844727
0.093872,-0.401001,0.843384
0.099731,-0.393433,0.847900
0.099121,-0.401611,0.846191
0.100464,-0.394653,0.849243
0.101318,-0.402344,0.842041
0.105225,-0.398804,0.847900
0.099609,-0.399902,0.845703
0.098633,-0.392700,0.841064
0.104736,-0.401001,0.849121
0.102173,-0.395264,0.845825
0.097290,-0.398926,0.849121
0.096802,-0.393066,0.847778
0.103394,-0.401123,0.849854
0.097290,-0.393188,0.849976
0.102661,-0.399780,0.846802
0.098511,-0.396973,0.849243
0.102905,-0.399536,0.843506
0.103271,-0.397705,0.848511
0.105347,-0.399902,0.849365
0.098145,-0.396729,0.846924
0.102783,-0.397095,0.844849
0.099365,-0.395508,0.852783
0.103882,-0.400635,0.849731
0.101685,-0.396362,0.846680
0.100220,-0.398560,0.843994
0.097046,-0.398682,0.852173
0.107056,-0.398804,0.848145
0.102051,-0.398560,0.843384
0.099609,-0.397949,0.849854
0.097900,-0.397949,0.849365
0.100830,-0.399292,0.840088
0.099365,-0.396606,0.844360
0.099609,-0.398193,0.850098
0.100464,-0.395020,0.845337
0.096802,-0.394409,0.849854
0.097656,-0.399048,0.846924
0.102783,-0.397705,0.845337
0.101929,-0.395630,0.848267
0.101562,-0.396606,0.852783
0.098633,-0.400879,0.843384
0.098999,-0.394775,0.848511
0.104736,-0.395874,0.843140
0.095337,-0.397095,0.848755
0.100098,-0.400757,0.841431
0.098633,-0.396240,0.850586
0.098877,-0.401733,0.844604
0.102173,-0.394897,0.847412
0.100098,-0.400635,0.841919
0.098755,-0.395508,0.843262
0.101929,-0.397095,0.844238
0.101196,-0.395508,0.846191
0.101929,-0.397461,0.847778
0.099487,-0.398315,0.848999
0.100098,-0.395752,0.841309
0.100708,-0.396240,0.845947
0.098999,-0.397461,0.846558
0.097778,-0.394165,0.844849
0.093384,-0.403198,0.844604
0.102905,-0.395874,0.852051
0.101562,-0.398560,0.846802
0.098022,-0.395264,0.842651
0.099731,-0.399292,0.843262
0.099731,-0.392334,0.844604
0.103882,-0.399658,0.840942
0.102783,-0.395142,0.852539
0.103149,-0.397827,0.846924
0.099365,-0.398193,0.845215
0.101318,-0.398804,0.845581
0.102295,-0.396240,0.844116
0.103882,-0.397217,0.846069
0.100830,-0.395020,0.845947
0.101074,-0.401367,0.844849
0.105469,-0.397827,0.848022
0.104370,-0.400146,0.843506
0.100464,-0.398560,0.850464
0.101807,-0.398315,0.847168
0.098267,-0.395264,0.847778
0.102905,-0.395752,0.845459
0.102539,-0.396729,0.848145
0.104248,-0.397461,0.848267
0.100952,-0.399536,0.844727
0.101318,-0.396973,0.850830
0.101562,-0.399414,0.842651
0.101807,-0.396606,0.845215
0.098145,-0.397827,0.847412
0.098755,-0.397217,0.852051
0.103638,-0.399780,0.845093
0.102295,-0.396606,0.846924
0.099121,-0.396606,0.847900
0.098877,-0.396240,0.843262
0.100464,-0.398193,0.840210
0.097900,-0.393799,0.844849
0.106445,-0.399414,0.846924
0.100464,-0.395508,0.842163
0.099121,-0.399048,0.843994
0.098755,-0.397339,0.844238
0.103638,-0.401978,0.844849
0.103271,-0.396240,0.843506
0.098511,-0.399780,0.852417
0.101440,-0.396851,0.850830
0.099731,-0.401611,0.846313
0.102417,-0.391479,0.850220
0.103271,-0.400635,0.848022
0.099243,-0.397095,0.841064
0.102661,-0.405396,0.841064
0.096436,-0.395264,0.849365
0.102783,-0.402344,0.845947
0.100586,-0.396851,0.847046
0.099487,-0.403564,0.846191
0.099487,-0.398560,0.852051
0.103027,-0.401245,0.846191
0.099854,-0.393921,0.848145
0.102295,-0.402222,0.847534
0.099609,-0.396851,0.851440
0.100098,-0.402344,0.845459
0.101196,-0.394775,0.847168
0.104614,-0.400513,0.846924
0.099243,-0.396362,0.848877
0.099487,-0.400146,0.840698
0.101929,-0.396484,0.845093
0.104248,-0.401611,0.845337
0.100220,-0.392212,0.847290
0.100464,-0.396484,0.848389
0.100220,-0.396484,0.845703
0.104370,-0.397461,0.839600
0.102417,-0.399048,0.844849
0.102905,-0.397827,0.849243
0.099243,-0.398926,0.837646
0.098267,-0.403564,0.846191
0.100342,-0.396240,0.848755
0.103760,-0.397339,0.846558
0.101929,-0.399658,0.850464
0.100952,-0.399048,0.844360
0.104126,-0.397095,0.844360
0.103149,-0.400513,0.843018
0.099243,-0.398315,0.845703
0.101562,-0.396118,0.839355
0.098999,-0.394409,0.842773
0.096924,-0.395752,0.846436
0.096924,-0.399170,0.850952
0.101685,-0.399658,0.844116
0.100830,-0.397217,0.848145
0.098755,-0.396729,0.848389
0.095337,-0.400146,0.844727
0.102417,-0.396973,0.847412
0.096436,-0.395874,0.845825
0.099854,-0.397461,0.846191
0.101807,-0.397705,0.842163
0.098511,-0.394653,0.851929
0.099854,-0.400146,0.846191
0.094238,-0.392334,0.844971
0.101562,-0.399658,0.845947
0.101440,-0.395264,0.848999
0.100830,-0.398804,0.842163
0.099976,-0.394287,0.847168
0.101929,-0.399414,0.848999
0.100952,-0.395264,0.847290
0.102905,-0.400269,0.848877
0.097290,-0.396362,0.846924
0.100952,-0.402710,0.844482
0.099487,-0.394897,0.849609
0.101440,-0.401978,0.845215
0.103760,-0.396606,0.846924
0.100708,-0.404297,0.845947
0.099976,-0.397461,0.853027
0.099854,-0.399292,0.845581
0.101929,-0.396240,0.845703
0.100708,-0.397583,0.851318
0.094238,-0.394287,0.844849
0.102783,-0.400513,0.836548
0.099731,-0.397339,0.847778
0.104492,-0.399170,0.844116
0.101318,-0.396240,0.841064
0.099487,-0.398438,0.847290
0.100220,-0.396729,0.842896
0.098511,-0.398926,0.843628
0.100220,-0.393677,0.847778
0.101929,-0.400513,0.844482
0.101440,-0.395508,0.843262
0.102661,-0.399658,0.843262
0.100952,-0.397827,0.844727
0.103394,-0.399292,0.845337
0.098633,-0.396973,0.851685
0.103027,-0.399170,0.847290
0.099731,-0.395264,0.841431
0.101074,-0.399048,0.847168
0.101440,-0.398560,0.843384
0.102173,-0.397705,0.847656
0.099121,-0.391968,0.848389
0.102539,-0.397339,0.840210
0.101807,-0.401001,0.845947
0.101074,-0.394409,0.847778
0.099731,-0.399048,0.843994
0.100708,-0.397217,0.841553
0.101196,-0.400391,0.842896
0.103516,-0.394409,0.850586
0.097046,-0.396484,0.843384
0.097900,-0.398315,0.846313
0.104736,-0.403809,0.843994
0.101807,-0.399170,0.847290
0.096680,-0.399170,0.851318
0.100464,-0.394409,0.850098
0.098999,-0.403687,0.843872
0.105225,-0.401611,0.850342
0.098999,-0.399414,0.856934
0.096924,-0.395874,0.847168
0.098145,-0.399658,0.845337
0.098877,-0.398926,0.847534
0.102539,-0.400757,0.843384
0.102173,-0.392578,0.850952
0.096436,-0.402588,0.846558
0.099976,-0.395630,0.840820
0.100830,-0.402222,0.844849
0.097656,-0.394653,0.844604
0.099976,-0.399536,0.850830
0.095337,-0.397583,0.845215
0.101074,-0.400146,0.842285
0.102173,-0.396240,0.847900
0.102539,-0.396606,0.842896
0.097290,-0.397705,0.850342
0.103760,-0.400879,0.848877
0.102417,-0.393311,0.849609
0.101929,-0.398926,0.844116
0.098145,-0.392700,0.847290
0.098999,-0.398682,0.840820
0.097778,-0.396851,0.848267
0.098389,-0.398560,0.845703
0.098633,-0.394775,0.851807
0.100098,-0.398071,0.845215
0.099731,-0.395752,0.843262
0.098633,-0.397705,0.843750
0.104492,-0.394897,0.843872
0.101807,-0.396362,0.846802
0.097046,-0.395264,0.849487
0.101807,-0.402100,0.840454
0.099243,-0.395264,0.850952
0.100342,-0.398804,0.847290
0.100708,-0.396973,0.845459
0.100220,-0.399048,0.844849
0.100098,-0.398560,0.846558
0.103027,-0.398193,0.849609
0.103516,-0.397705,0.842041
0.102661,-0.396484,0.842041
0.097046,-0.401611,0.851440
0.101807,-0.395752,0.845337
0.101685,-0.396362,0.848022
0.101440,-0.399170,0.844604
0.098877,-0.400024,0.850708
0.095947,-0.398926,0.844849
0.100952,-0.397705,0.847168
0.103271,-0.396240,0.851074
0.099976,-0.396973,0.844360
0.098877,-0.393677,0.846313
0.097534,-0.398438,0.845703
0.106079,-0.396118,0.846680
0.099365,-0.402588,0.844727
0.096924,-0.394287,0.842407
0.099731,-0.400513,0.843262
0.099243,-0.395508,0.851562
0.102783,-0.398438,0.848145
0.101929,-0.395508,0.845703
0.098633,-0.400635,0.844238
0.101685,-0.393677,0.844971
0.095337,-0.400757,0.843506
0.102539,-0.396240,0.845337
